item_id	i_category	r_complement	r_substitute
48	10	[7700, 6551, 6311, 5819, 11651, 4001, 3726]	[8556, 99, 7700, 3067, 6312, 6551, 4380, 6311, 11646, 6428, 5170, 3726]
35	4	[11339, 3767, 4038, 34, 3484, 6057, 7671]	[4008, 3767, 34, 4177, 335, 1520, 7563]
30	10	[9190, 40, 41, 10981, 6519, 7412, 9201, 2756, 3061, 7087, 1205, 8787, 8781, 3922, 6613, 3067, 8784, 4188, 4235, 6549]	[9190, 3452, 158, 1610, 3061, 4235, 5679, 2686, 1205, 10981, 8787]
42	10	[5591, 49, 2902, 1270, 588]	[8680, 1560, 11642, 49, 4834, 1501, 3859, 4540, 11577]
36	10	[48, 31]	[7921, 2215, 4008, 3767, 1501, 4177, 1502, 4188, 346, 8360, 11577, 31]
43	4	[4269, 4008, 1943, 3767]	[34, 4269, 4008, 3767]
44	4	[9190, 4008, 7700, 3767, 4615, 3949, 1808, 6871]	[9190, 4269, 4008]
39	10	[11604, 40, 11808, 6440, 3260, 41, 6311, 9207, 444, 9929, 9243, 1861, 3662, 105, 3663, 1648, 11256, 1760, 9219, 9218, 95, 38, 2251, 3844, 3589, 177, 1339, 3177, 7416, 11640]	[40, 41, 9243, 5169, 1861, 3662, 105, 3663, 1760, 9218, 6575, 95, 2007, 12030, 38, 1841, 6579, 1159, 1339, 4823]
38	10	[40, 11808, 41, 6779, 444, 6854, 9929, 2381, 9243, 9947, 3358, 2712, 7087, 1861, 1245, 3662, 11222, 9383, 39, 105, 3663, 3458, 1760, 5037, 4871, 95, 6330, 2251, 9905, 2553, 11651, 1339, 7416, 9451, 2215]	[40, 3260, 41, 9207, 9929, 9243, 1861, 3662, 5410, 10063, 39, 105, 3663, 1760, 6575, 95, 3523, 6330, 2251, 1159, 3258, 1339]
47	10	[70, 4008, 324, 7510]	[4008, 3767, 34, 3763, 4269, 46]
26	3	[3541, 1532, 70, 3570, 11738, 3722, 3725, 4829, 6532, 4827, 10969, 3724, 1928, 3569, 3723, 11563, 2251, 27, 12025, 4830, 4831, 4304]	[3541, 9771, 1532, 10969, 3569, 27, 12025, 3723, 3570, 11563, 11585, 6025, 3725, 1223, 3722, 6532]
33	10	[4743, 1501, 3858, 1502, 444, 9368, 346]	[10980, 10954, 10478, 11642, 6545, 3813, 3858, 7717, 11939, 346, 4743, 1501, 9368, 11713, 1841, 9743, 1502, 5345, 3380]
54	10	[]	[]
49	10	[1339, 11651]	[2076, 57, 3844, 11941, 6312, 12010, 12058, 6311, 2916, 11646, 8022, 6428, 9501, 10480, 1453, 3726, 6549]
55	17	[971, 741, 2770, 6369, 7087, 6946, 680, 1270]	[9, 260, 2770, 7459, 2304, 9362, 4162, 6946, 4161]
50	10	[5591, 49, 6793, 1688, 22, 588, 2643]	[8556, 6312, 49, 48, 6551, 1558, 10480, 4877, 1561, 8784, 3726]
37	4	[491, 7087, 109, 324, 3015, 10060, 2922, 2766, 3313, 816, 1714]	[7824, 3074, 2739, 461, 325]
56	10	[9692, 9497, 3920, 70, 6311, 3847, 192, 9122, 6997, 11850, 7993, 2732, 11373, 10977, 11035, 1245, 10976, 57, 9495, 6137, 6310, 9129, 2804, 3844, 10386, 1246, 5345, 81]	[9692, 57, 3844, 9497, 1826, 6312, 6311, 192, 3847, 4146, 11850, 10386, 3921, 1246, 6549, 2804, 4677, 2732]
57	10	[7032, 9497, 6311, 3847, 6997, 10814, 11373, 9732, 7087, 10977, 3813, 10976, 4453, 1216, 56, 5296, 6107, 7876, 2804, 3844, 6655, 10386, 1246]	[9692, 3844, 9497, 6312, 56, 6311, 192, 3847, 10386, 11850, 1246, 3921, 6549, 2804, 4677, 1826]
59	10	[6311, 11771, 10814, 10815, 11800, 10708, 11373, 10977, 3813, 3710, 9943, 3706, 10984, 11374, 1180, 11878, 5524, 10976, 57, 4453, 5359, 10771, 10707, 9288, 6655, 10565, 2691, 10889, 11879, 3707]	[9692, 6311, 11646, 11373, 3706, 3710, 10984, 11374, 6236, 57, 5359, 56, 10771, 6655, 10565, 1671, 11879, 3707, 4309]
58	4	[6311, 9122, 7818, 5043, 11373, 11204, 4102, 7804, 10984, 10962, 11374, 57, 7802, 5359, 4871, 7044, 3044, 6655, 2863, 7011, 4870, 7803, 7801, 7416, 3707]	[11373, 484, 6655, 5359, 8795, 3710, 3706, 10984, 6107, 11374, 6236, 3707, 4309]
53	10	[4989, 6440, 7087, 177, 6311, 7044, 10954, 11213, 4188, 1122, 2804, 4298, 11577, 6549]	[57, 7088, 3844, 6311, 11646, 6549, 8784, 8785, 5170, 11577, 4989]
46	10	[4008]	[7643, 4008, 3767, 34, 4540, 3763]
60	10	[8471, 973]	[7502, 9723, 4221, 4118, 5371, 4379, 973, 8840, 11317]
61	10	[]	[1924]
52	4	[6369, 7087, 2922, 1158, 4513, 9921]	[6369, 1158, 10464]
63	10	[201, 2209, 2643, 11577, 6549]	[6545, 1560, 10980, 7717, 3859, 11577]
51	10	[7088, 40, 3920, 11076, 41, 11850, 11887, 9732, 7087, 11679, 4308, 2914, 5772, 4989, 57, 105, 840, 5491, 3747, 2847, 5771, 11577, 1841, 9729, 11194, 10388, 8784, 11352]	[7088, 840, 9729, 12058, 5219, 11550, 4308, 2914, 444, 8784, 8785, 2804, 4989]
65	6	[3541, 6369, 70, 1166, 6997, 88, 1158]	[6369, 1158]
69	17	[8656, 9469, 8794]	[8656, 1166, 5306, 8794]
67	21	[7985, 8948, 9050, 5600, 2097, 4559, 7434, 6291, 7503, 6926]	[5576, 8948, 9050, 2097, 7217, 4559, 7434, 10814, 6291, 7000, 10456, 7152, 6926, 1739, 6912, 81]
68	24	[2545, 1914, 1042, 1436, 1038, 107, 1080, 4597]	[4597]
64	4	[6440, 70, 177, 4394, 4559, 5296, 7493, 7690, 6549]	[7690, 10980, 11577, 7985]
62	10	[7088, 8785]	[57, 7088, 4989, 8785, 7700, 6269, 6312, 9729, 3921, 7752, 8784, 6548, 8276, 1417, 6549]
70	8	[10356, 8644, 2438, 5600, 3105, 4277, 10712, 4394]	[6613, 10356, 8644, 2438, 5653, 5600, 9101, 2832]
72	7	[2867, 6997, 2925, 11490, 3836, 9021, 7690, 57, 7138, 8252, 8290, 8058, 4973, 5822, 5965, 10565, 2691, 3835, 3770, 11276]	[7831, 2867, 11011, 3836, 5873, 7486, 9943, 5026, 568, 8252, 8290, 3835, 11806]
74	33	[2494, 75, 70, 4713, 9713, 9520, 4283, 2448, 7563, 3294, 8957, 10645, 7260, 10561, 6613, 1356, 7259, 10565, 4284, 2471, 9474, 10889, 9009, 4290, 10568]	[2494, 76, 1356, 75, 10363, 2448, 2297, 10294, 2471, 9713, 10889, 10959, 7260, 10568, 11760]
73	7	[]	[11767, 2494, 77, 10891, 7259, 10565, 4284, 10889, 659, 7260, 4290]
75	33	[6613, 2494, 7334, 1356, 10945, 4283, 7259, 2448, 4284, 2471, 8957, 4417, 9713, 3294, 9009, 7260, 4290, 10568]	[2494, 1356, 9944, 3775, 5358, 2448, 2297, 2471, 9713, 10889, 10959, 10568, 10294]
66	9	[6926, 2034, 7506, 9050, 4559, 9049, 7434, 7510, 7503, 6913, 7509, 4843, 6912]	[2034, 7506, 9050, 4559, 9049, 7510, 7503, 7509, 6912]
76	33	[2471, 10568, 10566]	[40, 2494, 10976, 75, 2471, 1203, 1828, 10568, 10566, 10559, 11760]
79	9	[1763, 9497, 3920, 6311, 3847, 192, 2805, 7993, 2732, 11912, 9732, 10385, 3921, 1245, 3848, 4677, 5867, 9495, 4046, 840, 56, 6849, 3851, 2804, 10771, 3844, 10386, 4048, 1246, 5345, 9733, 2808]	[7698, 2801, 6311, 3847, 11497, 9496, 2732, 6271, 11912, 9732, 10385, 3921, 1906, 8032, 7668, 3880, 4051, 4989, 9495, 5346, 6849, 4871, 5348, 12057, 1246, 936]
81	21	[111, 2353, 6060, 9122, 7818, 6997, 10814, 7286, 7985, 5021, 4102, 11035, 9051, 7266, 9131, 7802, 4075, 14, 7224, 9784, 4118, 11298, 7000, 7044, 4109, 9129, 8565, 6655, 5600, 7011, 893, 7801]	[2353, 7217, 9122, 7818, 2097, 10814, 6997, 67, 5437, 11035, 4128, 1739, 14, 7000, 2100, 5576, 4559, 7803, 10370]
77	33	[2494, 7065, 75, 7259, 5358, 73, 4284, 2471, 9306, 8957, 9009, 9520, 7260, 4290, 4283, 10976]	[11579, 2494, 73, 4284, 10889, 7260, 4290]
82	10	[5492, 4221, 9122, 7818, 6997, 10682, 4102, 7804, 11035, 2707, 9055, 7759, 7802, 4075, 14, 9129, 9724, 6502, 8541, 4126, 6836, 2355, 5371]	[7502, 4221, 4118, 5371, 3368, 4128, 9723]
78	10	[9692, 3847, 9732, 3848, 4677, 57, 4046, 56, 5348, 7044, 2804, 3844, 10356, 7065, 5600, 10386, 1246, 5345, 2808]	[57, 10390, 9497, 9495, 9732, 3848, 3944, 7065, 56, 10386, 1246, 838, 6160, 5000, 5345, 7993, 4863, 2732]
71	12	[6412, 872, 4911, 1987, 4288, 5767, 1131, 8427]	[3827]
85	18	[9056, 2353, 8895, 9130, 8886, 9122, 9051, 7814, 2707, 8884, 6997, 9057, 10717, 8258, 11607, 8891, 2702, 9746]	[8895, 8886, 9057, 2707, 9056, 8884]
87	19	[6061, 10056, 9122, 6997, 2862, 10682, 9387, 1899, 7746, 3994, 4102, 5523, 9051, 8112, 9748, 4075, 7343, 3097, 11298, 10635, 9129, 8201, 8884, 10972, 2863, 7011, 7535, 10958, 11562]	[2425, 1199, 2863, 11970, 4794, 7374, 4941, 10138, 9604, 6997, 2862, 12027, 4630, 722, 11562]
86	10	[]	[4984, 8323, 6311, 9495]
84	10	[4586, 11581, 3813, 9122, 4082, 6997, 10958, 5371, 11138]	[6502, 7816]
80	10	[111, 5492, 7802, 2908, 6836, 3368, 7804, 7818, 6997, 9122, 9055, 7801, 7759, 3514, 10473, 2705]	[3369, 4118, 3368, 4128, 9723]
83	9	[3369, 5437, 14, 5265, 7535, 2209, 4089, 9122, 7818, 6663, 4566, 3514, 4109, 5740, 2705]	[111, 5437, 14, 4125, 11035, 7818, 4114, 10370, 4109, 7535, 5740, 10032, 5435]
88	7	[1158, 6992]	[3303, 6369, 9585, 10363, 6992, 2297, 1158, 72, 8006, 10959, 9454]
91	9	[10909, 2801, 192, 3601, 444, 5844, 6869, 4984, 1826, 2983, 3813, 10839, 8278, 2914, 8032, 1651, 10919, 9255, 4989, 11407, 6868, 1648, 840, 7000, 7837, 6310, 9978, 2984, 5151, 9950, 6871, 8276]	[11739, 7698, 11497, 3601, 9996, 9496, 6869, 4984, 1826, 10960, 3604, 8278, 8032, 10919, 5845, 9255, 4989, 6868, 840, 6849, 4871, 7837, 6310, 2984, 5151, 6870, 1246, 9950, 11717, 6871, 8276]
90	10	[2353, 7031, 6311, 6867, 3601, 6997, 9996, 8277, 6869, 2982, 4984, 1826, 9931, 3813, 10839, 8278, 2914, 8032, 10919, 9255, 57, 11407, 6868, 14, 7837, 9978, 10771, 4428, 6570, 5151, 6870, 11692, 9950, 6871, 8276, 10958]	[6311, 6867, 10917, 9996, 5844, 6869, 4984, 1826, 3813, 9160, 8278, 8032, 10919, 57, 7837, 9978, 4985, 10771, 5151, 6870, 6871, 8276]
89	10	[2854, 7997, 3039, 3042, 5982, 593, 7996, 4536, 5445]	[1182, 2474, 9663, 3039, 3042, 3855, 4536, 5445, 2754]
92	4	[]	[]
98	28	[40, 1532, 3674, 70, 3475, 6519, 9929, 3568, 9243, 4298, 4827, 3061, 1205, 11160, 1127, 11092, 11306, 9218, 5011, 7333, 4187, 11408, 177, 6025, 4188, 3916]	[2577, 1532, 11092, 6359, 4830, 1205, 443, 4188, 6519, 7333, 4187, 2756, 8804]
95	10	[11604, 40, 11808, 41, 9207, 444, 9929, 9243, 9947, 1861, 3005, 3662, 5410, 11222, 39, 105, 3663, 840, 1760, 6330, 38, 2251, 7009, 11651, 1339, 3076]	[39, 40, 105, 1159, 3260, 3663, 1861, 1760, 41, 2251, 3523, 1339, 3662, 9929, 9243, 6330, 38]
100	33	[1190, 11870, 2279, 70, 3278, 5066, 11306, 335, 831, 2674]	[2279, 5066, 11306, 2674, 8006, 4277, 7291, 3776]
99	10	[11604, 3589, 7009, 3278, 11194, 41, 2097, 11640, 999, 9947, 11222, 11662]	[2758, 2097, 9501, 11941, 11662]
94	30	[9207, 6311, 7412, 9201, 3914, 4763, 443, 9200, 11936, 11160, 8517, 3747, 6816, 9322, 9197, 12057, 177, 11703, 8935, 3177, 9084, 4235, 10996]	[11936, 3067, 1644, 2608, 7949, 8935, 1205, 443, 7412, 12044, 4819, 9201]
101	33	[10978, 11641, 1211, 6238, 10323, 2309, 10319, 3765, 6259, 11088, 482, 4849, 358]	[8316, 6, 6258, 1211, 3765, 3039, 6259, 5982, 8665, 868, 9347]
105	10	[11604, 5682, 7982, 40, 41, 11497, 2378, 444, 9243, 9929, 9947, 11525, 9732, 1861, 11601, 543, 5410, 3662, 9600, 8782, 11222, 8883, 39, 8888, 3663, 4046, 840, 1760, 11745, 95, 5771, 2251, 733, 38, 9056, 11651, 1339, 7416]	[40, 41, 11511, 444, 9243, 4262, 1861, 10870, 11550, 3662, 9600, 11992, 39, 8543, 3663, 1760, 95, 5220, 5771, 6330, 38, 1159, 9905, 1339, 7569, 9451, 11628]
108	10	[1941, 1608, 1607, 362, 11426]	[11426, 12012, 1608, 1607]
109	4	[9190, 2281, 3813, 4877, 3105, 6832, 9921]	[4073, 2281, 3105, 4877, 6832, 3673]
93	10	[1532, 3767, 3951, 3916, 838, 8957, 4188, 9084, 4235, 4187, 5028, 6549]	[158, 3951, 8095, 838, 10954, 4188, 4189, 7128, 4235, 2756]
97	10	[7088, 6538, 2438, 70, 10980, 6311, 838, 6519, 7985, 1205, 4989, 57, 7044, 6955, 6613, 10356, 177, 5600, 4188, 9084, 6549]	[158, 3944, 7065, 10980, 5600, 838, 6160, 5000, 3916]
107	24	[2545, 1080, 1914, 1947, 1042, 2413, 2841, 1038, 7193, 4597]	[1038, 1436, 4597, 1042]
115	4	[70, 3105]	[201, 109, 3105, 4855, 3672]
96	10	[11808, 10980, 41, 8037, 444, 4984, 2701, 7087, 4308, 1205, 6548, 840, 10086, 8444, 6310, 5771, 2804, 38, 6203, 9322, 9729, 177, 11194, 9088, 5345, 9733, 9084, 6549]	[7065, 3324, 10980, 3875, 8037, 5000, 5927, 3848, 11577]
114	10	[6412, 9497, 3920, 3847, 192, 11850, 9496, 444, 6869, 7993, 11912, 9732, 10977, 1245, 7668, 10976, 57, 9495, 4046, 840, 56, 3844, 10386, 4559, 1246, 10388, 5345]	[9497, 192, 3847, 11850, 9496, 7993, 9732, 3921, 4677, 57, 9495, 4046, 56, 2806, 5348, 2804, 10390, 3844, 10386, 1246]
106	9	[99, 7009, 10323, 3640, 6750, 11651, 4460]	[11686, 99, 11808, 6, 10664, 12057, 11890, 6750, 4871, 2725, 4538, 740, 11662]
110	4	[2281, 109, 1310, 1855, 3105, 4302, 228, 588, 8449]	[4008, 2281, 3767, 109, 1310, 1501, 1855, 3105]
116	36	[3844, 8786, 7087, 7081, 11013, 1270, 2643]	[3844, 8786, 6297, 7087, 3442, 3319, 7081, 1270, 2643, 8729, 6549]
112	9	[111, 9480, 8882, 7535, 2209, 4559, 2366, 9056]	[111, 5437, 7535, 2209, 4114, 6997, 2310, 2366, 81]
111	9	[6311, 112, 7217, 9122, 6997, 11373, 4102, 9523, 7266, 9051, 4454, 11374, 57, 5712, 4075, 7000, 4109, 9129, 2702, 7011, 7535, 81]	[5437, 4125, 7535, 2209, 112, 4102, 9122, 6997, 7818, 4114, 10408, 4109, 11595, 10370]
102	7	[99, 6, 1211, 6259, 170]	[6, 6259, 5982, 9347, 292]
104	17	[8664, 2097]	[8733, 5065, 3953, 3657]
103	6	[8062, 2074, 70, 764, 6442, 2097, 5982, 5981, 5457, 3718]	[8733, 4726, 5067]
117	10	[4235, 4188, 4187, 2756]	[1841, 39, 7727, 1644, 41, 5679, 4187, 3244, 2099, 4188, 4235, 585, 2756, 4827]
113	4	[9497, 11739, 3847, 11850, 9496, 444, 7993, 11912, 9732, 10977, 11679, 5003, 1245, 11913, 10976, 9255, 57, 4046, 3922, 9030, 3844, 6655, 10386, 1246, 5345, 2808]	[9497, 6311, 192, 3847, 11850, 9496, 7993, 11912, 9732, 3921, 1245, 4677, 57, 9495, 4046, 56, 2806, 5348, 10390, 3844, 10386, 1246, 5345]
118	24	[156]	[]
119	10	[57, 4008, 3767, 70, 5491, 34, 6997, 5508, 444, 3259]	[1841, 4008, 3767, 34, 3763, 4269, 46]
120	4	[11426, 7663, 1416, 1607]	[11425, 12012, 1416, 4731, 1608, 1607, 11426, 7662, 4513, 3936]
121	4	[6369, 11228, 11426, 8769, 11696, 4711, 1180, 1416, 7664, 7954, 11256, 7663, 7665, 4505, 7673, 6871, 3936, 7662, 4513]	[10464, 7664, 7954, 996, 7663, 2766, 4711, 3936, 7662, 4513, 8769]
123	25	[1899, 8481, 10279, 122, 5454, 9889, 5181, 8497, 11633]	[3877, 7933, 2380, 3591, 3592, 11633, 6217, 7670, 3594, 11036, 10943, 6119, 3495, 1486, 9889, 4386, 4951]
122	35	[4954, 4747, 818, 9029, 5742, 2116, 1207, 3731, 151, 4358, 5409, 2055, 1307, 1606]	[6125, 2861, 818, 5742, 2116, 12004, 1713, 3372, 2055, 422, 163]
124	10	[10842, 11228, 7183, 9201, 11972, 3344, 135, 11912, 11307, 11385, 9200, 3435, 11256, 7419, 6119, 12013, 9322, 9197, 8383, 11651, 9084, 11369]	[9577, 3435, 7451, 9197, 11747, 7684, 8383, 9267, 4901, 3128, 6872, 11385, 6943, 3344, 5627, 9200]
125	19	[6440, 3674, 1125, 6324, 8016, 8783, 9723, 11827, 7985, 929, 9055, 7759, 726, 11116, 9162, 9197, 177, 8362, 716, 4188, 9084, 10789, 10996]	[6440, 9723, 2323, 3674, 1125, 3951, 8016, 4793, 8362, 8015, 10815, 8783]
126	4	[57, 11403, 8084, 9495, 741, 840, 5653, 2902, 5600, 3860, 1943, 3859, 11729, 1245, 11213, 5747, 10976, 6549]	[57, 3844, 1881, 7700, 741, 6312, 2902, 6311, 3860, 12058, 1943, 3859, 3863, 5747]
127	35	[8624, 7621, 210, 2116, 2691, 151, 122, 7818, 10125, 6294, 570, 2114, 7718, 1307, 3375, 2055, 1306, 5993]	[8624, 7913, 818, 210, 2116, 12004, 122, 570, 2055, 7718, 5409, 710, 7914, 5993, 163]
128	10	[6613, 7333, 4298, 7258]	[3646, 7702, 6133, 5392, 3848, 7333, 259, 4298, 8137]
129	10	[2309, 3778, 733, 6]	[9501, 99, 2758, 11646]
131	10	[34, 4008, 8790, 3767]	[4008, 4615, 3767, 34, 1501, 35, 4269]
132	4	[2312, 7401, 2173, 6005, 2309, 4750, 362, 5038]	[2312, 6005, 2309, 3700, 362, 6594, 3578]
130	10	[7982, 7698, 2902, 6311, 3860, 6869, 5747, 4984, 1733, 11373, 7087, 12058, 11679, 2914, 57, 11403, 741, 840, 1943, 10771, 11651, 3859, 7416]	[11739, 1156, 9495, 12057, 11076, 2902, 6311, 3860, 12058, 4871, 733, 3859, 444, 6869, 4984]
134	10	[10842, 9190, 11228, 7031, 8925, 3914, 7181, 1178, 11204, 1174, 11359, 11385, 11126, 7182, 3081, 3435, 5739, 3951, 6200, 4675, 11713, 5610, 7983, 6203, 9197, 7735, 177, 11194, 8383, 9083, 5198, 9084, 11369]	[11204, 5001, 6203, 7735, 11228, 7983, 177, 11194, 8383, 6200, 11385, 9084, 5610, 11369]
133	10	[5492, 11664, 11228, 11523, 9122, 4288, 11204, 5001, 1174, 11679, 11939, 11700, 11385, 7759, 11126, 57, 11160, 4872, 6200, 125, 5181, 9089, 5610, 7983, 6203, 9197, 7735, 177, 11194, 9088, 9083, 4559, 9084]	[11228, 11204, 5001, 1174, 11939, 11385, 11126, 3081, 5739, 6200, 6058, 5610, 7983, 6203, 11918, 11246, 7735, 177, 11194, 8383, 2318]
135	35	[4954, 4453, 7087, 8451, 5180, 2691, 11055, 2114, 6685, 7914, 4543, 1307]	[196, 1153, 4747, 6374, 6373, 9004, 861, 151, 4623, 9003, 6434, 3371, 6294, 6669, 7958, 7296, 162, 4512, 566, 10125, 2114, 5735, 2052, 1467, 4358, 2053, 4996, 1307]
137	10	[1872, 3260, 8000, 5926, 5287, 1175, 9201, 2140, 5070, 10428, 443, 4711, 9208, 9383, 1928, 8517, 6652, 7664, 9234, 7954, 3663, 7662, 7673, 9143, 177, 821]	[1563, 8517, 3663, 8000, 7673, 2421, 2916, 5287, 8159, 1175, 9867, 2277]
136	10	[40, 8000, 5926, 8354, 2421, 11497, 4828, 9929, 1175, 11111, 11307, 4711, 1245, 3664, 9208, 9383, 1928, 3081, 8517, 6652, 7664, 9234, 3663, 9144, 3747, 2916, 8159, 274, 7673, 9143, 177, 7979, 4831, 3118, 7662, 2215]	[8517, 40, 7664, 3663, 10428, 7673, 2916, 8159, 11158, 7662, 1175, 2277]
139	6	[2945, 5857, 2758, 4726, 8240, 5982, 5981, 3781, 3792]	[2945, 8733, 4726, 4765, 6263, 6737, 3946, 3792]
138	10	[2945, 2758, 3777, 2309, 4871, 11651, 1554, 496, 3792]	[2945, 7700, 2758, 11646, 8022, 9501, 7714, 3792]
140	10	[40, 1872, 8000, 2421, 6311, 5287, 1175, 8769, 11307, 2922, 4711, 3664, 8096, 2277, 8517, 7664, 9234, 7954, 3663, 8159, 7662, 11425, 38, 7673, 9143, 11158, 3118, 821, 8327]	[8517, 3663, 10428, 8000, 7673, 2421, 5287, 8159, 11158, 3664, 1175, 8327, 2277]
141	6	[1180, 1416, 7664, 7954, 7673, 1176, 7663, 4513, 736, 7662, 10499, 4711, 3936, 11425, 816, 8769, 5732, 7665]	[11893, 7664, 1416, 7954, 7673, 7663, 4711, 3936, 7662, 4513, 8769, 7665]
142	9	[3108, 4161, 4003, 11738, 5130]	[4003]
